Epoch,Train_MSE,Val_MSE
1,0.15012102915509218,0.0035485399266941605
2,0.0022845619991010064,0.001386775491110857
3,0.0012280962916183702,0.001869036214045398
4,0.001016498888065802,0.0006991769579491316
5,0.0008458950195348313,0.0006938116015218075
6,0.000707602519117481,0.0008357722400327455
7,0.0007490221959621084,0.0010490686866166637
8,0.0007414860825841599,0.0005351961345941817
9,0.0007859505037648491,0.0007773743719196987
10,0.000796011075196088,0.0009472813252719809
11,0.0006949628360160416,0.0006501955814397179
12,0.0005482416903890814,0.0004603131018187954
13,0.0005916159965666474,0.0004805919551226254
14,0.0006212464741814512,0.0004681176103996267
15,0.0005129302807798023,0.0007690271347869208
16,0.0005466456191218072,0.00047272182319272124
17,0.0006492784412742402,0.0004367678268948951
18,0.0005274551006636031,0.0005779409808755044
19,0.0006573242990773439,0.0010765038645512408
20,0.0005632693689890226,0.0006013938311991688
21,0.0004841533009714102,0.0005278093309414403
22,0.0006011726748898049,0.0006009524052021047
23,0.0005671302614301361,0.0004185879040568635
24,0.0004870308081050872,0.0004158286800355913
25,0.00045065167141327046,0.00046488196390953677
26,0.0006109185639681366,0.0004618918916817693
27,0.0005345792317948206,0.0004321327291490788
28,0.00047562182726575196,0.00046530392185594496
29,0.0005112293075695531,0.0006323741669818059
30,0.0005407179113270365,0.0006732740326918333
31,0.000525710558215187,0.0004986160529972934
32,0.0004687476015613718,0.0006633739589162953
33,0.00045188700793779234,0.00036172800792576694
34,0.000494240221016891,0.0006173891240463319
35,0.0005377250464982996,0.0005449109587905857
36,0.0004482968371568598,0.000540704243058771
37,0.000501513778369035,0.0007834211699355867
38,0.0005752585560742004,0.0004452691131749947
39,0.0004841057800440869,0.0004268643116316043
40,0.0004350359021629418,0.0005751868371609907
41,0.0004314145672093892,0.0006172205393848354
42,0.00048364417841953856,0.00048919196802742
43,0.0004868661802781756,0.0005247997683125615
44,0.00047889462375025473,0.0004440301229137907
45,0.0008874180525231294,0.0005185992176546741
46,0.00039356996035795063,0.00045208917102308233
47,0.000411394205927149,0.0003706428073783976
48,0.00038863330898106674,0.0003392217272071898
49,0.0004534644525927795,0.000363343210378919
50,0.0004641051894280216,0.0003678083655524752
51,0.0005772979603630094,0.00036030078807830273
52,0.00040770187298317046,0.00040722825983796493
53,0.00043488104936399225,0.0003810758417528843
54,0.0003852729656018358,0.00082608705543455
55,0.0004139346419029627,0.00040588775284341354
56,0.0004111215680772027,0.0005925908435177244
57,0.00047951981607626464,0.00034950829116828247
58,0.00045477753718646026,0.0003622974806467781
59,0.00043658311260112904,0.00039982731751222886
60,0.0005095316443170384,0.00043348593473979864
61,0.00042140721004181,0.00031662732732574874
62,0.00037936446971185403,0.0003523559281242322
63,0.0004119117710821701,0.00031468804841423766
64,0.0005266055504460845,0.00035963819001399967
65,0.00037702920625387636,0.00041051056523529493
66,0.0003803361492496478,0.0003181481335147474
67,0.0004212779946623946,0.0008994966021157513
68,0.000454302203458173,0.00039184133062983
69,0.0004443688565274721,0.000596988011017771
70,0.0004005020300861582,0.0005436756211405013
71,0.00040159261613718916,0.0005955440387803835
72,0.00038566914141353073,0.00033191928719762117
73,0.0003991995941981344,0.0003632215582971456
74,0.00044760022668402066,0.0005389105243021777
75,0.0004208946615188686,0.00038445335832162046
76,0.00044559474733146164,0.0003596361303954123
77,0.00040203759119362254,0.0003058836835266724
78,0.0003691506274597647,0.000413128437258262
79,0.0004700421754757035,0.00038930681889146073
80,0.00042535321583112094,0.0004333487926668472
81,0.0004035005917887136,0.00031618557990019245
82,0.000417960897484892,0.0003190288390611808
83,0.00036561713285116447,0.00030949727911244853
84,0.00044031557426028965,0.0006983581092980439
85,0.0004181606309631201,0.00031169119869225054
86,0.0004212085004234738,0.00035174404597681694
87,0.0003788428633050602,0.00034637671177537894
88,0.0004052155923216671,0.00038720431701583756
89,0.00037317706658877945,0.0003199142123153176
90,0.0003490466446016313,0.0006424384519653344
91,0.0004982168355941237,0.0003036810778202335
92,0.00041342781364946054,0.0003091062932694588
93,0.00037951743446010066,0.0007354963052431276
94,0.0003891784789584814,0.00036005922773266365
95,0.0003952796684156136,0.0004995887670074255
96,0.00034883829196773533,0.0003038490476030136
97,0.00045702614993865483,0.00036022144637343304
98,0.00035261045969335765,0.00033311050569185814
99,0.00036640688466636247,0.00029066184941468274
100,0.0003864316833983767,0.00031616974468291504
101,0.00034063367727174017,0.0007651630307943946
102,0.00039368005082247913,0.0003761392403831345
103,0.0003611628145933954,0.000295329816962299
104,0.00037008122203663216,0.000294028265203622
105,0.0003771626974844492,0.0004681753083415206
106,0.0003557609201560713,0.0003244721681877806
107,0.0003743605983754857,0.00045964163641229233
108,0.00042048311864350055,0.00037163775462466833
109,0.0003467843815901713,0.0003239951625167912
110,0.00039754268265964764,0.001986271906283926
111,0.0004032385719326474,0.0003572186823028721
112,0.00036947953008894825,0.00031465815492128717
113,0.0003611327852289712,0.0003170633724908658
114,0.0003388022154296918,0.00032120928501463313
115,0.00040301546212916073,0.0008618913983890159
116,0.0003829773911660877,0.0002959757086239467
117,0.0003384131343600479,0.0005127825180598592
