Epoch,Train_MSE,Val_MSE,Learning_Rate
129,7.889414339937746e-07,1.1192109941979693e-06,0.00021599999999999996
130,8.339139258975413e-07,1.393737675241471e-06,0.00021599999999999996
131,7.902520843037686e-07,1.3415072852922307e-06,0.00021599999999999996
132,8.275769750914492e-07,1.0225195777692035e-06,0.00021599999999999996
133,8.23642965884852e-07,5.910694759399658e-07,0.00021599999999999996
134,7.966800475249737e-07,9.754481907218683e-07,0.00012959999999999998
135,2.7009513103733317e-07,1.7815334804910024e-07,0.00012959999999999998
136,3.6619563751987376e-07,1.4837956418693656e-07,0.00012959999999999998
137,3.5952443657809123e-07,1.7486818558648051e-07,0.00012959999999999998
138,3.5584166693416627e-07,1.375713594550599e-07,0.00012959999999999998
139,3.362650531014548e-07,2.2856285672392885e-07,0.00012959999999999998
140,3.82760420050767e-07,2.74776202485147e-07,0.00012959999999999998
141,3.1651436599940705e-07,3.851044565608195e-07,0.00012959999999999998
142,3.6042486505103115e-07,8.839584029002178e-07,0.00012959999999999998
143,3.4259864511954734e-07,3.204512723864047e-07,0.00012959999999999998
144,3.5513369038621946e-07,1.809312987905488e-07,0.00012959999999999998
145,3.5284200986012274e-07,1.4419978251666554e-07,0.00012959999999999998
146,3.4154339736400363e-07,7.888870715278595e-08,0.00012959999999999998
147,3.5215181962949145e-07,2.55173709852686e-07,0.00012959999999999998
148,3.2278923986473857e-07,2.624932755498664e-07,0.00012959999999999998
149,3.2837909547472124e-07,3.609602509304837e-07,0.00012959999999999998
150,3.5949658053331253e-07,2.1357735719149822e-07,0.00012959999999999998
151,3.422195251041444e-07,6.677796071274778e-07,0.00012959999999999998
152,3.3223076941217967e-07,2.5624625982032485e-07,0.00012959999999999998
153,3.2550441528497817e-07,3.0366953535434594e-07,0.00012959999999999998
154,3.2926730830746334e-07,1.5490751066097369e-07,0.00012959999999999998
155,3.1796209046577016e-07,5.404900899195517e-07,0.00012959999999999998
156,3.373065253213334e-07,3.653634037430605e-07,0.00012959999999999998
157,3.438269970077226e-07,2.842977145836196e-07,0.00012959999999999998
158,3.2818878254665294e-07,2.1458003916397702e-07,0.00012959999999999998
159,3.415156788668882e-07,2.0897690680701113e-07,0.00012959999999999998
160,3.0402639202074986e-07,3.632248433473323e-07,0.00012959999999999998
161,3.6808925964203686e-07,2.6453626019847236e-07,0.00012959999999999998
162,2.7732431482989385e-07,9.626780070224478e-08,7.775999999999999e-05
163,1.2867446295758092e-07,1.7386316935965374e-07,7.775999999999999e-05
164,1.5026529951769272e-07,9.161494581743686e-08,7.775999999999999e-05
165,1.5877011412455172e-07,1.6092595527652493e-07,7.775999999999999e-05
166,1.579739964474617e-07,1.4774500540297497e-07,7.775999999999999e-05
167,1.5502943343294786e-07,1.0857642869882875e-07,7.775999999999999e-05
168,1.5441522007357985e-07,1.5092311104701648e-07,7.775999999999999e-05
169,1.584253555891912e-07,2.344668071540456e-07,7.775999999999999e-05
170,1.5204185886319258e-07,2.2508737810386842e-07,7.775999999999999e-05
171,1.5206170967904776e-07,9.494591681793827e-08,7.775999999999999e-05
172,1.5442140440426623e-07,1.4699897686253894e-07,7.775999999999999e-05
173,1.465386745341592e-07,1.2474888178368364e-07,7.775999999999999e-05
174,1.5311897562294265e-07,1.6125056047745877e-07,7.775999999999999e-05
175,1.485173203992751e-07,7.854724978900007e-08,7.775999999999999e-05
176,1.4877410589238358e-07,1.2012407722035492e-07,7.775999999999999e-05
177,1.4439510201188688e-07,7.003115266745637e-08,7.775999999999999e-05
178,1.524631879429458e-07,1.3459902373113388e-07,7.775999999999999e-05
179,1.4250263823024764e-07,1.2345425987355307e-07,7.775999999999999e-05
180,1.478934789497283e-07,1.7285456904927137e-07,7.775999999999999e-05
181,1.4265636895534365e-07,2.1827454796929674e-07,7.775999999999999e-05
182,1.5244951518181515e-07,1.3066963170972287e-07,7.775999999999999e-05
183,1.4436490478116788e-07,1.5689519911614676e-07,7.775999999999999e-05
184,1.4640846925436895e-07,9.2115711853353e-08,7.775999999999999e-05
185,1.474721697229479e-07,1.6200363908330062e-07,7.775999999999999e-05
186,1.5340364750224525e-07,1.0697007747512189e-07,7.775999999999999e-05
187,1.6210330072429044e-07,1.0073247105587201e-07,7.775999999999999e-05
188,1.4299409137584803e-07,1.1042356097420742e-07,7.775999999999999e-05
189,1.482820490710607e-07,9.35402446929281e-08,7.775999999999999e-05
190,1.4086827730002218e-07,2.9317261363854995e-07,7.775999999999999e-05
191,1.3332179060848596e-07,8.634559475645329e-08,7.775999999999999e-05
192,1.5390211148749266e-07,7.674593547507471e-08,7.775999999999999e-05
193,1.4021161365015667e-07,6.056345344307617e-08,7.775999999999999e-05
194,1.4094294825364882e-07,9.273761292862173e-08,7.775999999999999e-05
195,1.4123546493676888e-07,1.1747877459570005e-07,7.775999999999999e-05
196,1.3727317432544637e-07,1.334063133975539e-07,7.775999999999999e-05
197,1.4668833821342433e-07,1.602215490394831e-07,7.775999999999999e-05
198,1.412925945113755e-07,1.3720096615593024e-07,7.775999999999999e-05
199,1.3996824571761072e-07,1.0668540572271685e-07,7.775999999999999e-05
200,1.440939716367019e-07,7.378835715610055e-08,7.775999999999999e-05
201,1.3698954634249534e-07,7.3625458225742e-08,7.775999999999999e-05
202,1.4196442589197916e-07,1.0428585895481152e-07,7.775999999999999e-05
203,1.3288042049484347e-07,7.193255642344371e-08,7.775999999999999e-05
204,1.325392183088382e-07,9.056776819530878e-08,7.775999999999999e-05
205,1.410475704630497e-07,8.528983695326386e-07,7.775999999999999e-05
206,1.3751377305348308e-07,1.042232056222244e-07,7.775999999999999e-05
207,1.449272961348075e-07,8.731518294064779e-08,7.775999999999999e-05
208,1.301388945602902e-07,2.9595570054807074e-07,7.775999999999999e-05
209,1.3965660325843744e-07,1.2805272131542116e-07,4.665599999999999e-05
210,6.177464721490216e-08,6.735519261666522e-08,4.665599999999999e-05
211,7.711048573887648e-08,1.1397564853223237e-07,4.665599999999999e-05
212,7.156559671205034e-08,7.423887113082796e-08,4.665599999999999e-05
213,7.159487961711856e-08,7.733290148306287e-08,4.665599999999999e-05
214,7.203569679211287e-08,5.1818863619982584e-08,4.665599999999999e-05
215,7.218873312742766e-08,1.3036291597024175e-07,4.665599999999999e-05
