a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03109288,0.2687019,0.174656235,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1102.9760000000001128,-981.7256999999999607,-1083.302189112581118,-34635.8561498557101,-34371.775444048733334,-34593.006986884051003
0.03111787,1.061917,0.69024605,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1872.2380000000000564,-1667.4179999999998927,-1839.0043507145044259,-58750.482860566975432,-58308.22831024872721,-58678.723595748153457
0.03113015,0.8453723,0.549491995,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1739.9860000000001037,-1549.6639999999999873,-1709.1047647724144554,-54579.244493034442712,-54168.456252676507575,-54512.59088347159559
0.03113229,0.05769665,0.037502822500000005,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-421.11410000000000764,-373.1664000000000101,-413.33421011695071456,-13197.437184658021579,-13080.24332836188114,-13178.421563534298912
0.0311376,0.4039004,0.26253526,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1322.8360000000000127,-1177.9529999999999745,-1299.3275984306685586,-41483.35713938713161,-41170.092832472146256,-41432.527551897248486
0.03114305,0.6893279,0.448063135,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1623.0660000000000309,-1445.5570000000000164,-1594.2637743822915581,-50890.847597350773867,-50507.862410517846,-50828.70525099423685
0.03115185,0.5919636,0.38477634000000005,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1536.7429999999999382,-1368.6829999999999927,-1509.4739486430992201,-48170.74776768598531,-47808.17525757540716,-48111.917538013214653
0.03115215,0.4533349,0.294667685,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1387.1099999999999,-1235.3209999999999127,-1362.4810458383160494,-43479.414568516105646,-43151.66761279811908,-43426.23505782027496
0.03115984,0.5299694,0.34448011000000006,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1474.7119999999999891,-1313.4500000000000455,-1448.5459773895245235,-46214.63211520891491,-45866.77271356145502,-46158.189202627065242
0.031168,0.4864863,0.316216095,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1427.0989999999999327,-1271.0550000000000637,-1401.7796387603461881,-44710.86306691941718,-44374.307502100782585,-44656.254290402153856
