Epoch,Train_MSE,Val_MSE
1,0.15940218904436418,0.004547662361530144
2,0.0029249557143447725,0.0017950832059102657
3,0.0014288272523418975,0.0011027103710600603
4,0.0011658236321360285,0.0023959498088395232
5,0.0011120468325969551,0.001528759463818857
6,0.0008007537990677279,0.0007547432613348104
7,0.0007910772615230709,0.0009900538864396308
8,0.0006897910110567547,0.0006310872528419022
9,0.0006297259612101547,0.0005237063661845432
10,0.0005675532389753782,0.0005098316511036365
11,0.0006002607756649344,0.0006569701762103285
12,0.0006205425724755067,0.00046573417198211365
13,0.0004941416244750626,0.00046363408395567736
14,0.0005770543635532115,0.00043278831978282216
15,0.0004465692517095508,0.00046809666930924256
16,0.0005483704311027094,0.0005864225477829205
17,0.0006087852617177742,0.0005237810241022451
18,0.0004925820331709223,0.0007840766782424727
19,0.0004714000891335823,0.0004360187994586355
20,0.0006147407582840106,0.0007820086201874137
21,0.000518442257963512,0.0006142760625685365
22,0.0005047649080165307,0.0005255460180213562
23,0.0004632860553664418,0.0005874164326589822
24,0.0004769437798448113,0.0004231592136028722
25,0.0004707195645568697,0.00038418058789649063
26,0.00039640106649899555,0.0003597966769326849
27,0.00041948905013995604,0.00038324206075708263
28,0.00042230185849375984,0.0003569836148449338
29,0.00040133829914851537,0.00033917757508844054
30,0.0005328905168446089,0.0004433199148419318
31,0.00039787641837382535,0.00036494914623677154
32,0.0003674415489131307,0.00032482669915160094
33,0.0004169640212656817,0.00031699093579036795
34,0.00036091215745160017,0.0003056088861242678
35,0.0003871381062839324,0.00030685999129708466
36,0.0003950240650697925,0.00038260807143652927
37,0.0003709172679160243,0.0010718296510964962
38,0.00039615352507500566,0.0002819297144457039
39,0.0003198388705379973,0.00032400494622766395
40,0.0003548078877318815,0.00032289455389444464
41,0.00031851215964345293,0.00032290497129700707
42,0.00042873734162248236,0.00033567554799155514
43,0.00035765354739610125,0.00042738126801810544
44,0.00029104928346479426,0.0002731556406962423
45,0.0004462929613288821,0.00028250891733297163
46,0.00027938368755974164,0.00035120130649083476
47,0.0003104397458814146,0.0002908996640491037
48,0.0002934589823006874,0.0004796759728393749
49,0.0002610295915619846,0.0002553396284559649
50,0.0002992099223533666,0.0002614633286003929
51,0.00024365154863592464,0.00030541728290559424
52,0.00031170649709661097,0.00023912916343288691
53,0.0003889135899631955,0.00022046353207458614
54,0.00024158766344305416,0.00021548043950640942
55,0.0002178129173579847,0.0006701702146549086
56,0.00032313801298363044,0.00048612732728377234
57,0.0002528689331368631,0.00022372205578336153
58,0.00027578233459672394,0.0002078315661512624
59,0.0002213614054239041,0.00020432528684003205
60,0.00025473298266650955,0.0006115050151563399
61,0.00025360910271780655,0.00020319690480210834
62,0.00022619591578223758,0.00026040079486324807
63,0.00020937102914174238,0.00019619363721573303
64,0.0002125247706593534,0.00028742701140005986
65,0.00023873555595383243,0.00017394283040328908
66,0.0003435682861609719,0.00014926078679485154
67,0.00017891605761711284,0.0002487611455858289
68,0.0001978274779387837,0.000163345729535991
69,0.0001858500110947666,0.00014549300594908797
70,0.0001860669760907568,0.0002885282114251048
71,0.00017535495364367037,0.0001454789792695623
72,0.00020048210749663774,0.00018197699184323667
73,0.00024172560579094584,0.00019289388559959336
74,0.00016713548855739002,0.00012347413230499573
75,0.0001661274297943066,0.00016629765202865024
76,0.00018261754263040626,0.00012583068867203734
77,0.00026372895077274837,0.0005601619541367197
78,0.00023522590522111512,0.0001295798979776793
79,0.00014851003375067763,0.00013637280693658477
80,0.0001630559084066756,0.00012305136507914725
81,0.00015008889910673662,0.00014051190184786896
82,0.00017632233554263244,0.00021061166115645422
83,0.0001382651148786516,0.00010751903297325587
84,0.00017681117650334986,0.00024890387607661194
85,0.00016983431376914305,0.00010695052140222565
86,0.00014781174888301804,0.00013629008154963652
87,0.0001697349442070664,0.0001177465721150572
88,0.000226399142966279,0.00011261295968118684
89,0.00014378838848904063,0.0005353911212537417
90,0.00015207214769537468,0.0002106818012270603
91,0.0001862402756933833,0.00019775304264126563
92,0.0001396182293390073,0.0001140823090115809
93,0.00015504333320542018,0.00013336151222780718
94,0.00020621582628221338,0.0001112376248884627
95,0.00012608596094168764,0.00010194741922703402
96,0.00012999247809909335,0.00013906144741562438
97,0.00011927052847211358,0.00011808280649759616
98,0.00015792189278023689,0.00021140381009819613
99,0.00018182428631605452,0.00014630076893507529
100,0.00011256475577861565,0.00010240435101334983
101,0.0001488313175477692,0.0002607113041127749
102,0.00014550448019454355,9.79576566326046e-05
103,0.00013328012012994272,0.00010907450162333524
104,0.00013288017595508418,0.0001256572954467297
105,0.0001152211533941699,0.00026909202383573874
106,0.00013437200182401162,9.553450314412974e-05
107,0.00020320561327920065,0.00014217897086437709
108,0.00012795245953454786,0.0001937395427376032
109,0.00013090592362575146,8.706055886757904e-05
110,0.00012066837837398619,9.131543388145137e-05
111,0.0001250541581360955,0.00011175211010248663
112,0.0001442476988703177,0.0001370853482995141
113,0.00014895980366317875,8.881467719979131e-05
114,0.00010149925900960871,8.274537042614319e-05
115,0.00012508414480954188,0.00011652129361706976
116,0.00016850010612583975,8.752271772596409e-05
117,0.00011710330629023435,0.00010324842508789667
118,0.00012697392924047507,0.00028521058973547545
119,0.00016481599147648304,0.00023807974137334947
120,0.0002293177039873174,9.478219204005985e-05
121,8.608836271669535e-05,9.490045087247346e-05
122,0.00011522442393711747,0.00012249730573066648
123,0.00011178758230529217,0.00017058030278962208
124,0.00011821649789740074,0.00011648250090438122
125,0.00018054651112060283,0.00014440517543586105
126,0.00010256046490458828,8.16494246072635e-05
127,9.671492453935319e-05,8.039635122761398e-05
128,0.00010234206154021481,0.00014109866779158663
129,0.00010814040031628837,6.658084272424361e-05
130,0.00012047441185594186,0.00012312190343808507
131,0.00010407974690106281,0.00011287973857631403
132,0.00013631193659677381,0.00010695132481266143
133,0.00011874256522998662,9.437978350639714e-05
134,0.00011083209722010851,7.441271298586839e-05
135,8.094154423886128e-05,8.035971778599309e-05
136,9.5504125076422e-05,0.00011921739500776212
