a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03000803,0.1922324,0.12495106,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-488.75639999999998508,-418.11630000000002383,-465.83258095017743017,-15345.9887569374805025,-15192.629504153121161,-15296.221276987076635
0.03000898,0.1132992,0.07364448,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-408.39740000000000464,-362.81279999999998154,-393.60448320262088373,-12950.600691329105757,-12870.7536535252529575,-12924.6890767323002365
0.03002599,0.005124997,0.00333124805,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-30.173670000000001323,-29.815950000000000841,-30.057584256201472783,-963.3462489401669018,-961.907184993886176,-962.87925014620054753
0.0300325,0.01022571,0.006646711500000001,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-77.07111000000000445,-72.72795000000000698,-75.66168654300564356,-2473.087992397281596,-2457.1845233501016992,-2467.9270675585285062
0.03003703,0.07888508,0.051275302,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-350.44400000000001683,-316.4626999999999839,-339.4165358220368489,-11151.698592502854808,-11098.278616748673812,-11134.36297352956899
0.0300459,0.0646343,0.042012295000000005,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-278.2155999999999949,-226.92539999999999623,-261.57112662256690783,-8617.115561836775669,-8495.809948906309728,-8577.74999014950663
0.03006803,0.008122572,0.0052796718,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-58.192379999999999995,-56.240740000000002397,-57.559042246933465492,-1870.941368407554819,-1863.5988104651128197,-1868.5585933317072431
0.03008074,0.06909945,0.044914642500000004,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-309.8505999999999858,-271.0040000000000191,-297.24426975555189756,-9758.431693748036196,-9691.364671642035319,-9736.667394448228151
0.03010618,1.023922,0.6655493,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-822.8106000000000222,-702.11760000000003856,-783.6438308054457593,-25733.367052147241338,-25475.623949857894331,-25649.72537782598738
0.03015663,0.01287341,0.0083677165,0.10132265020189113,0.04867734979810887,0.15,2e-09,0.65,0.0030745491652856977,0.38335104329391756,-97.798879999999996926,-88.668250000000000455,-94.83584753075263052,-3098.0040932829692792,-3065.771556673820669,-3087.5441302202766565
